CODGEO;LIBGEO;DENS;LIBDENS;PMUN13;P1;P2;P3;P4;P5;P6;P7
01001;L'Abergement-Clémenciat;6;Rural à habitat dispersé;767;0,0;0,0;0,0;0,0;0,0;78,6;21,4
01002;L'Abergement-de-Varey;6;Rural à habitat dispersé;236;0,0;0,0;0,0;0,0;0,0;88,1;11,9
01004;Ambérieu-en-Bugey;2;Centres urbains intermédiaires;14359;0,0;70,9;0,0;24,9;0,0;3,5;0,8
01005;Ambérieux-en-Dombes;5;Bourgs ruraux;1635;0,0;0,0;0,0;0,0;83,1;9,4;7,5
01006;Ambléon;6;Rural à habitat dispersé;108;0,0;0,0;0,0;0,0;0,0;100,0;0,0
01007;Ambronay;6;Rural à habitat dispersé;2503;0,0;0,0;0,0;0,0;45,1;49,0;5,9
01008;Ambutrix;4;Ceintures urbaines;744;0,0;0,0;0,0;81,3;0,0;18,7;0,0
01009;Andert-et-Condon;6;Rural à habitat dispersé;337;0,0;0,0;0,0;0,0;0,0;61,1;38,9
01010;Anglefort;5;Bourgs ruraux;1108;0,0;0,0;0,0;0,0;49,1;46,8;4,2
01011;Apremont;6;Rural à habitat dispersé;394;0,0;0,0;0,0;0,0;0,0;83,5;16,5
01012;Aranc;6;Rural à habitat dispersé;314;0,0;0,0;0,0;0,0;0,0;51,9;48,1
01013;Arandas;7;Rural à habitat très dispersé;158;0,0;0,0;0,0;0,0;0,0;44,7;55,3
01014;Arbent;4;Ceintures urbaines;3410;0,0;7,1;0,0;83,2;0,0;8,5;1,2
01015;Arbignieu;6;Rural à habitat dispersé;495;0,0;0,0;0,0;0,0;0,0;91,9;8,1
01016;Arbigny;6;Rural à habitat dispersé;427;0,0;0,0;0,0;0,0;0,0;90,2;9,9
01017;Argis;6;Rural à habitat dispersé;422;0,0;0,0;0,0;0,0;0,0;79,4;20,6
01019;Armix;7;Rural à habitat très dispersé;21;0,0;0,0;0,0;0,0;0,0;0,0;100,0
01021;Ars-sur-Formans;5;Bourgs ruraux;1387;0,0;0,0;0,0;0,0;79,6;18,2;2,3
01022;Artemare;5;Bourgs ruraux;1175;0,0;0,0;0,0;0,0;81,9;17,5;0,7
01023;Asnières-sur-Saône;6;Rural à habitat dispersé;69;0,0;0,0;0,0;0,0;0,0;95,1;4,9
01024;Attignat;5;Bourgs ruraux;3260;0,0;0,0;0,0;0,0;52,4;42,7;4,9
01025;Bâgé-la-Ville;6;Rural à habitat dispersé;3154;0,0;0,0;0,0;0,0;34,0;54,4;11,6
01026;Bâgé-le-Châtel;5;Bourgs ruraux;855;0,0;0,0;0,0;0,0;97,0;3,0;0,0
01027;Balan;5;Bourgs ruraux;2828;0,0;0,0;0,0;0,0;63,8;31,0;5,2
01028;Baneins;6;Rural à habitat dispersé;573;0,0;0,0;0,0;0,0;0,0;74,7;25,3
01029;Beaupont;6;Rural à habitat dispersé;677;0,0;0,0;0,0;0,0;0,0;67,3;32,7
01030;Beauregard;4;Ceintures urbaines;876;0,0;0,0;0,0;89,3;0,0;10,8;0,0
01031;Bellignat;2;Centres urbains intermédiaires;3646;0,0;64,3;0,0;34,1;0,0;1,6;0,0
01032;Béligneux;5;Bourgs ruraux;3304;0,0;0,0;0,0;0,0;86,9;11,9;1,2
01033;Bellegarde-sur-Valserine;2;Centres urbains intermédiaires;11644;0,0;65,6;0,0;26,7;0,0;7,3;0,4
01034;Belley;3;Petites villes;8909;0,0;0,0;83,0;0,0;0,0;16,0;1,1
01035;Belleydoux;6;Rural à habitat dispersé;327;0,0;0,0;0,0;0,0;0,0;70,1;29,9
01036;Belmont-Luthézieu;6;Rural à habitat dispersé;526;0,0;0,0;0,0;0,0;0,0;61,9;38,1
